风机编号,厂家,清洗建议,受影响记录数
116,东气,删除,9684
117,东气,删除,9655
118,东气,删除,8953
119,东气,保留,68395
119,东气,删除,41968
120,东气,删除,9838
121,东气,删除,9716
122,东气,删除,9692
123,东气,删除,9719
124,东气,删除,9745
125,东气,删除,9663
126,东气,删除,9750
127,东气,删除,9441
128,东气,删除,11016
129,东气,删除,9198
130,东气,保留,19
130,东气,删除,9745
131,东气,保留,5
131,东气,删除,9075
132,东气,删除,9831
133,东气,删除,11967
134,东气,删除,9730
135,东气,删除,10412
136,东气,删除,9689
137,东气,删除,9700
138,东气,保留,6
138,东气,删除,9975
139,东气,保留,276
139,东气,删除,9595
140,东气,删除,9623
141,东气,保留,6
141,东气,删除,9860
142,东气,删除,9718
143,东气,删除,10024
144,东气,删除,9651
145,东气,删除,28597
146,东气,删除,16429
147,东气,删除,14590
148,东气,删除,10014
149,东气,删除,9622
150,东气,保留,16163
150,东气,删除,16029
151,东气,删除,27212
152,东气,删除,15385
153,明阳,人工复核,1422
153,明阳,保留,274
153,明阳,删除,9182
154,明阳,人工复核,2509
154,明阳,保留,256
154,明阳,删除,15399
155,明阳,人工复核,81
155,明阳,保留,9
155,明阳,删除,11179
156,明阳,人工复核,284
156,明阳,保留,238
156,明阳,删除,38036
157,明阳,人工复核,18
157,明阳,保留,62
157,明阳,删除,43763
158,明阳,人工复核,4357
158,明阳,保留,9
158,明阳,删除,44863
159,明阳,保留,25
159,明阳,删除,9783
160,明阳,人工复核,1185
160,明阳,删除,10745
161,明阳,人工复核,120
161,明阳,保留,137
161,明阳,删除,35965
162,明阳,人工复核,5
162,明阳,保留,9
162,明阳,删除,14180
163,明阳,人工复核,76
163,明阳,保留,1840
163,明阳,删除,13623
164,明阳,保留,106
164,明阳,删除,9315
165,明阳,人工复核,6622
165,明阳,保留,19
165,明阳,删除,10586
166,明阳,人工复核,33
166,明阳,保留,13
166,明阳,删除,20738
167,明阳,人工复核,35
167,明阳,保留,7
167,明阳,删除,9803
168,明阳,保留,34
168,明阳,删除,45791
169,金风,保留,8781
169,金风,删除,3387
170,金风,保留,8749
170,金风,删除,2863
171,金风,删除,13923
172,金风,删除,13861
173,金风,删除,11266
174,金风,删除,12828
175,金风,删除,12061
176,金风,保留,58
176,金风,删除,11136
177,金风,删除,11600
178,金风,保留,114
178,金风,删除,11985
179,金风,删除,10183
180,金风,删除,11031
181,金风,删除,11398
182,金风,删除,13415
183,金风,删除,14774
184,金风,删除,13196
185,金风,保留,8749
185,金风,删除,2079
186,金风,删除,14157
187,金风,删除,11386
188,金风,删除,14395
189,金风,删除,10845
190,金风,删除,11278
191,金风,保留,8748
191,金风,删除,1520
192,金风,删除,14721
193,金风,删除,10386
194,金风,删除,11490
195,金风,保留,8717
195,金风,删除,3939
196,金风,保留,8717
196,金风,删除,2267
197,金风,保留,8726
197,金风,删除,2574
198,金风,保留,8721
198,金风,删除,2779
199,金风,删除,11760
