风机编号,厂商,集电线路,开始时间,结束时间,持续长度(min),状态码,冻结有功kW,冻结风速ms,同时冻结风机数,异常类型,CT均值MW,CT有效均值MW,FAN_SUM均值MW,实际损耗均值MW,预期损耗均值MW,超额损耗均值MW,超额损耗总量MWmin,超额损耗总量MWh
63,明阳,WU,2024-07-04 17:02:00,2024-07-04 17:11:00,10,1.0,800.0,4.905,133,A,12.716281300000002,12.716281300000002,16.078,3.3617186999999973,2.761656514717435,0.6000621852825625,6.000621852825625,0.10001036421376042
63,明阳,WU,2024-07-05 13:26:00,2024-07-05 13:30:00,5,0.0,-35.0,0.9702,132,B1,-3.680563,0.0,-1.4829,-1.4829,,,,
63,明阳,WU,2024-07-09 17:03:00,2024-07-09 17:12:00,10,0.0,-36.0,1.7166,61,B2,-3.78578828,0.0,-1.326,-1.326,,,,
63,明阳,WU,2024-07-16 17:03:00,2024-07-16 17:12:00,10,1.0,2456.0,5.6442,133,A,80.67612240000001,80.67612240000001,106.7898,26.11367759999997,5.5354405353121,20.57823706468787,205.7823706468787,3.429706177447978
63,明阳,WU,2024-07-17 05:03:00,2024-07-17 05:12:00,10,1.0,6544.0,10.8049,133,A,258.935968,258.935968,278.0586,19.122631999999957,17.541738825825874,1.5808931741740828,15.808931741740828,0.2634821956956805
63,明阳,WU,2024-07-17 17:03:00,2024-07-17 17:12:00,10,1.0,3686.0,8.5875,133,A,79.1938466,79.1938466,82.83579999999998,3.641953399999977,4.561722441625733,-0.9197690416257558,-9.197690416257558,-0.1532948402709593
63,明阳,WU,2024-07-18 10:51:00,2024-07-18 10:55:00,5,1.0,1642.0,6.1084,133,B1,50.725883,50.725883,58.4788,7.7529169999999965,3.749148848950197,4.003768151049799,20.018840755248995,0.3336473459208166
63,明阳,WU,2024-07-29 05:09:00,2024-07-29 05:18:00,10,3.0,0.0,5.1847,89,B1,26.0390309,26.0390309,37.481,11.4419691,3.1923193329919526,8.249649767008048,82.49649767008049,1.3749416278346749
63,明阳,WU,2024-07-29 17:04:00,2024-07-29 17:13:00,10,3.0,0.0,4.1364,108,A,34.9332655,34.9332655,43.046,8.112734500000002,3.3269376689427155,4.7857968310572865,47.857968310572865,0.7976328051762144
63,明阳,WU,2024-07-30 05:04:00,2024-07-30 05:13:00,10,3.0,0.0,7.5604,126,A,56.0247552,56.0247552,68.5679,12.543144799999991,4.064013925960724,8.479130874039267,84.79130874039268,1.4131884790065448
63,明阳,WU,2024-08-08 12:12:00,2024-08-08 12:16:00,5,3.0,0.0,3.2122,130,B1,-2.89094812,0.0,-0.5049,-0.5049,,,,
63,明阳,WU,2024-08-08 13:05:00,2024-08-08 13:09:00,5,3.0,0.0,3.9682,135,B1,1.94468904,1.94468904,4.813,2.86831096,2.5905061998482024,0.27780476015179767,1.3890238007589883,0.02315039667931647
63,明阳,WU,2024-08-08 13:31:00,2024-08-08 13:35:00,5,3.0,0.0,5.905,135,B1,4.3577471,4.3577471,8.4511,4.0933529,2.64159407468014,1.4517588253198603,7.258794126599302,0.12097990210998837
63,明阳,WU,2024-08-08 14:24:00,2024-08-08 14:28:00,5,3.0,0.0,4.0799,136,B1,4.31045512,4.31045512,8.212,3.90154488,2.6381139130984876,1.2634309669015122,6.317154834507561,0.10528591390845936
63,明阳,WU,2024-08-08 15:43:00,2024-08-08 15:47:00,5,3.0,0.0,1.3549,135,B1,0.27376414,0.27376414,2.251,1.97723586,2.556925878694651,-0.579690018694651,-2.898450093473255,-0.04830750155788758
63,明阳,WU,2024-08-08 18:21:00,2024-08-08 18:25:00,5,3.0,0.0,1.764,136,B1,27.602074800000004,27.602074800000004,29.285000000000004,1.6829251999999997,3.0110721402353806,-1.328146940235381,-6.640734701176905,-0.11067891168628176
63,明阳,WU,2024-08-08 19:40:00,2024-08-08 19:44:00,5,3.0,0.0,6.0408,135,B1,22.0417532,22.0417532,26.184000000000005,4.142246800000002,2.947781459130874,1.1944653408691281,5.97232670434564,0.09953877840576067
63,明阳,WU,2024-08-08 20:33:00,2024-08-08 20:37:00,5,3.0,0.0,0.9981,71,B2,16.974601,16.974601,20.181,3.206399000000001,2.8335066911409332,0.3728923088590679,1.8644615442953394,0.03107435907158899
63,明阳,WU,2024-08-08 20:59:00,2024-08-08 21:03:00,5,3.0,0.0,5.2718,134,B1,18.6969218,18.6969218,21.694,2.997078199999997,2.861283685715888,0.13579451428410927,0.6789725714205463,0.011316209523675772
63,明阳,WU,2024-08-08 21:26:00,2024-08-08 21:30:00,5,3.0,0.0,6.2713,77,B2,25.5917504,25.5917504,29.8876,4.295849599999997,3.0237077667949968,1.272141833205,6.360709166025,0.10601181943375
63,明阳,WU,2024-08-08 22:18:00,2024-08-08 22:22:00,5,3.0,0.0,6.6876,135,B1,29.4087266,29.4087266,34.139,4.7302734000000015,3.1159666326276905,1.614306767372311,8.071533836861555,0.13452556394769258
63,明阳,WU,2024-08-08 23:37:00,2024-08-08 23:41:00,5,3.0,0.0,2.7971,135,B1,73.75097919999999,73.75097919999999,72.2793,-1.4716791999999828,4.187568188695023,-5.659247388695006,-28.29623694347503,-0.4716039490579172
63,明阳,WU,2024-08-09 00:56:00,2024-08-09 01:00:00,5,3.0,0.0,8.0982,136,B1,56.5826146,56.5826146,59.7639,3.1812854,3.7875479094149207,-0.6062625094149205,-3.0313125470746027,-0.05052187578457671
63,明阳,WU,2024-08-09 01:49:00,2024-08-09 01:53:00,5,3.0,0.0,7.3109,136,B1,51.181382,51.181382,51.48199999999999,0.3006179999999929,3.5488252108510427,-3.24820721085105,-16.24103605425525,-0.2706839342375875
63,明阳,WU,2024-08-09 02:15:00,2024-08-09 02:19:00,5,3.0,0.0,5.8943,135,B1,68.4222488,68.4222488,71.49610000000001,3.073851200000007,4.161149097890454,-1.0872978978904468,-5.436489489452234,-0.09060815815753724
63,明阳,WU,2024-08-09 03:08:00,2024-08-09 03:12:00,5,3.0,0.0,8.4304,42,B2,82.95361,82.95361,89.65846,6.704850000000008,4.821426679565192,1.883423320434816,9.41711660217408,0.156951943369568
63,明阳,WU,2024-08-09 04:27:00,2024-08-09 04:31:00,5,3.0,0.0,6.4004,100,B1,28.9862538,28.9862538,33.319819900000006,4.333566100000009,3.097765575657882,1.2358005243421273,6.179002621710636,0.10298337702851061
63,明阳,WU,2024-08-09 05:46:00,2024-08-09 05:50:00,5,3.0,0.0,5.2076,116,B1,27.983369,27.983369,31.9045,3.9211310000000026,3.0667962310320047,0.8543347689679979,4.27167384483999,0.0711945640806665
63,明阳,WU,2024-08-09 07:05:00,2024-08-09 07:09:00,5,3.0,0.0,3.6282,135,B1,23.981888400000003,23.981888400000003,25.987,2.0051115999999998,2.9438587542924397,-0.9387471542924399,-4.693735771462199,-0.07822892952436998
63,明阳,WU,2024-08-09 07:58:00,2024-08-09 08:02:00,5,3.0,0.0,6.5225,126,B1,20.645711,20.645711,22.0692,1.4234890000000036,2.86827882151229,-1.4447898215122863,-7.223949107561431,-0.12039915179269052
63,明阳,WU,2024-08-09 09:43:00,2024-08-09 09:47:00,5,3.0,0.0,6.3417,118,B1,31.151321399999997,31.151321399999997,31.61950000000001,0.4681786000000123,3.0606331076184086,-2.5924545076183962,-12.96227253809198,-0.21603787563486634
63,明阳,WU,2024-08-09 10:36:00,2024-08-09 10:40:00,5,3.0,0.0,7.2859,115,B1,27.9720426,27.9720426,31.4152,3.4431574000000005,3.056230202470771,0.38692719752922944,1.9346359876461472,0.03224393312743579
63,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,3.0,0.0,8.2476,135,B1,22.2673184,22.2673184,28.917,6.649681600000001,3.0034096136787354,3.6462719863212656,18.231359931606328,0.30385599886010545
63,明阳,WU,2024-08-09 11:55:00,2024-08-09 11:59:00,5,3.0,0.0,6.485,106,B1,25.244503599999994,25.244503599999994,26.7602,1.515696400000003,2.959322086685803,-1.4436256866858002,-7.218128433429001,-0.12030214055715002
63,明阳,WU,2024-08-09 12:21:00,2024-08-09 12:25:00,5,3.0,0.0,6.4923,136,B1,29.6334362,29.6334362,34.546,4.912563800000001,3.125084904473968,1.787478895526033,8.937394477630164,0.1489565746271694
63,明阳,WU,2024-08-09 13:40:00,2024-08-09 13:44:00,5,3.0,0.0,7.853,134,B1,21.3079854,21.3079854,26.961,5.653014600000002,2.963367419653593,2.6896471803464093,13.448235901732046,0.22413726502886744
63,明阳,WU,2024-08-13 11:11:00,2024-08-13 13:33:00,143,3.0,0.0,3.1828,132,B1,-0.4830292354545452,0.0,4.629999999999999,4.629999999999999,2.5880419247025515,2.0419580752974476,292.000004767535,4.866666746125584
