字段名,重复值,开始时间,结束时间,持续长度,is_zero_value,异常类型
ACTIVE_POWER_BING,0.0,2024-05-24 08:15:00,2024-05-24 08:20:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-24 11:38:00,2024-05-24 11:50:00,13,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-24 14:08:00,2024-05-24 14:22:00,15,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-24 16:09:00,2024-05-24 16:13:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-25 01:10:00,2024-05-25 01:15:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-25 22:17:00,2024-05-25 22:22:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-26 10:23:00,2024-05-26 10:28:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-26 10:30:00,2024-05-26 10:40:00,11,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-26 18:35:00,2024-05-26 18:39:00,5,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-26 18:46:00,2024-05-26 18:54:00,9,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-27 00:10:00,2024-05-27 00:17:00,8,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-27 00:49:00,2024-05-27 00:54:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-27 14:22:00,2024-05-27 14:28:00,7,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-27 21:16:00,2024-05-27 21:32:00,17,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-27 22:10:00,2024-05-27 22:15:00,6,True,集电线路零值-需结合风机数据判断
ACTIVE_POWER_BING,0.0,2024-05-27 23:04:00,2024-05-27 23:09:00,6,True,集电线路零值-需结合风机数据判断
