P_left,P_right,P_med,L_med,n,base_bin_count,bin_width,min_bin_samples,region,bin_source,sigma_local,sigma_sample_n,var_local,line,line_name,scheme,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b,interp_order
260.0,270.0,264.99896,9.106110000000001,4673,1,10.0,20,high,high_fit_bins,1.9951885108744254,4673,3.980777193925307,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,45
270.0,280.0,274.90826500000003,9.339140000000071,3120,1,10.0,20,high,high_fit_bins,2.045859222149817,3120,4.185539956855454,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,46
280.0,290.0,283.48762,9.785775000000001,3158,1,10.0,20,high,high_fit_bins,1.405599992696363,3158,1.9757113394680155,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,47
290.0,300.0,293.56802,10.636449999999968,611,1,10.0,20,high,high_fit_bins,1.1580062568302756,611,1.3409784908580662,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0,48
0.0,0.5,0.14,0.14,8326,1,0.5,20,low,low_lookup,0.048524117305796546,8326,0.0023545899603067038,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,1
0.5,1.0,0.72719,0.72719,3344,1,0.5,20,low,low_lookup,0.0,3344,0.0,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,2
1.0,1.5,1.2483499999999998,1.2483499999999998,2864,1,0.5,20,low,low_lookup,0.0,2864,0.0,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,3
1.5,2.0,1.751,1.751,2653,1,0.5,20,low,low_lookup,0.005007736509203086,2653,2.5077424945605512e-05,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,4
2.0,2.5,2.24273,2.23938,2437,1,0.5,20,low,low_lookup,0.036921480718645996,2437,0.001363195738457348,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,5
2.5,3.0,2.74295,2.7133000000000007,2251,1,0.5,20,low,low_lookup,0.15805698792624828,2251,0.024982011432318197,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,6
3.0,3.5,3.24987,3.124,2147,1,0.5,20,low,low_lookup,0.4358092450197399,2147,0.1899296980446757,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,7
3.5,4.0,3.754225,3.0915427150000006,2046,1,0.5,20,low,low_lookup,0.6481755135875334,2046,0.42013149641446274,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0,8
