P_left,P_right,P_med,L_med,n,base_bin_count,bin_width,min_bin_samples,line,line_name,scheme,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b
70.0,80.0,74.910355,2.5196399999999954,7886,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
80.0,90.0,84.79436,2.7073300000000415,7519,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
90.0,100.0,94.84274500000001,2.9526574999999866,6604,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
100.0,110.0,104.99584000000002,3.239519999999999,6181,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
110.0,120.0,114.87371010000004,3.505634999999998,6000,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
120.0,130.0,125.04027999999998,3.742307150000002,5030,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
130.0,140.0,135.10742495,4.008900100000048,4634,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
140.0,150.0,144.90248000000003,4.311214999999962,4144,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
150.0,160.0,154.72227,4.6916399999999925,3812,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
160.0,170.0,165.08511499999997,4.959000000000003,3798,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
170.0,180.0,175.1771845,5.182490000000001,4034,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
180.0,190.0,185.10913,5.5461199999999735,3393,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
190.0,200.0,194.67212484999996,5.888054999999994,3054,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
200.0,210.0,205.12598,6.094529999999992,3121,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
210.0,220.0,214.983785,6.5278749999999945,3128,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
220.0,230.0,225.24881489999996,6.885629700000038,3086,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
230.0,240.0,234.85905499999996,7.18688985,3122,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
240.0,250.0,244.84266000000002,7.734095200000013,2660,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
250.0,260.0,255.47163500000002,8.167999750000007,2772,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
260.0,270.0,265.30174,8.662105000000025,4548,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
270.0,280.0,275.25261,9.17434000000003,4421,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
280.0,290.0,284.98184,9.459564999999998,2936,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
290.0,300.0,293.3723598,9.882014999999996,3058,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
300.0,310.0,304.30918999999994,10.717555000000033,614,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
0.0,10.0,4.258622,2.41334157,23647,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
10.0,20.0,14.878289,2.1433685000000002,17652,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
20.0,30.0,24.864037500000002,2.0484780000000065,15924,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
30.0,40.0,34.996528999999995,1.9807659999999956,14770,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
40.0,50.0,44.6232605,1.9307049999999961,13596,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
50.0,60.0,54.793275,1.9169630000000133,10708,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
60.0,70.0,64.650465,1.912400500000004,8976,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
70.0,80.0,74.897695,1.96456349999999,7822,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
80.0,90.0,84.893776,2.097824000000017,7011,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
