风机编号,厂商,集电线路,开始时间,结束时间,持续长度(min),状态码,冻结有功kW,冻结风速ms,同时冻结风机数,异常类型
116,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,106.0,863.66,5.026,115,多机-大范围-短时
117,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,106.0,1322.22,5.662,115,多机-大范围-短时
118,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,110.0,-28.23,5.503,115,多机-大范围-短时
119,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,110.0,-15.03,6.227,115,多机-大范围-短时
120,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,106.0,1324.87,5.63,115,多机-大范围-短时
121,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,101.0,1716.74,6.143,115,多机-大范围-短时
122,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,110.0,0.0,6.433,115,多机-大范围-短时
123,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,106.0,906.72,5.11,115,多机-大范围-短时
124,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,110.0,-6.0,3.866,115,多机-大范围-短时
125,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,113.0,0.0,0.0,115,多机-大范围-短时
126,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,106.0,1393.28,5.783,115,多机-大范围-短时
127,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,113.0,0.0,0.0,115,多机-大范围-短时
128,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,106.0,0.0,0.0,115,多机-大范围-短时
129,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,113.0,0.0,0.0,115,多机-大范围-短时
130,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,106.0,0.0,0.0,115,多机-大范围-短时
131,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,113.0,0.0,0.0,115,多机-大范围-短时
133,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,101.0,0.0,0.0,115,多机-大范围-短时
136,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,106.0,732.17,4.837,115,多机-大范围-短时
137,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,106.0,504.431,4.473,115,多机-大范围-短时
138,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,101.0,509.66,4.467,115,多机-大范围-短时
139,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,106.0,1388.24,5.754,115,多机-大范围-短时
140,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,106.0,2314.37,6.78,115,多机-大范围-短时
141,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,106.0,195.85,3.852,115,多机-大范围-短时
142,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,106.0,807.42,4.958,115,多机-大范围-短时
143,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,106.0,551.8,3.783,115,多机-大范围-短时
144,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,106.0,580.066,4.608,115,多机-大范围-短时
145,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,113.0,0.0,0.0,115,多机-大范围-短时
146,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,106.0,955.94,5.114,115,多机-大范围-短时
147,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,110.0,-15.65,7.014,115,多机-大范围-短时
148,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,113.0,0.0,0.0,115,多机-大范围-短时
149,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,106.0,0.0,0.0,115,多机-大范围-短时
151,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,113.0,0.0,0.0,115,多机-大范围-短时
152,东气,DING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,113.0,0.0,0.0,115,多机-大范围-短时
156,明阳,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,1.0,1215.0,6.0482,115,多机-大范围-短时
157,明阳,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,1.0,1020.0,5.2897,115,多机-大范围-短时
158,明阳,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,1.0,1346.0,5.2122,115,多机-大范围-短时
159,明阳,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,1.0,646.0,4.3289,115,多机-大范围-短时
160,明阳,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,1.0,790.0,5.185,115,多机-大范围-短时
162,明阳,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,1.0,1461.0,5.2962,115,多机-大范围-短时
163,明阳,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,1.0,1227.0,6.382,115,多机-大范围-短时
164,明阳,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,1.0,1449.0,7.6107,115,多机-大范围-短时
165,明阳,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,1.0,1191.0,5.2629,115,多机-大范围-短时
166,明阳,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,3.0,0.0,6.1415,115,多机-大范围-短时
167,明阳,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,1.0,1225.0,7.5726,115,多机-大范围-短时
168,明阳,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,3.0,-16.0,8.1,115,多机-大范围-短时
171,金风,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,5.0,569.39,4.28,115,多机-大范围-短时
172,金风,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,5.0,519.02,4.88,115,多机-大范围-短时
173,金风,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,5.0,906.58,5.03,115,多机-大范围-短时
174,金风,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,5.0,696.58,5.4,115,多机-大范围-短时
175,金风,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,5.0,940.73,5.47,115,多机-大范围-短时
176,金风,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,5.0,490.0,4.84,115,多机-大范围-短时
177,金风,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,5.0,667.56,5.2,115,多机-大范围-短时
178,金风,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,5.0,938.17,5.21,115,多机-大范围-短时
179,金风,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,5.0,1114.87,5.62,115,多机-大范围-短时
180,金风,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,5.0,944.14,6.01,115,多机-大范围-短时
181,金风,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,5.0,646.22,5.58,115,多机-大范围-短时
182,金风,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,5.0,534.39,5.16,115,多机-大范围-短时
183,金风,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,5.0,1321.46,5.63,115,多机-大范围-短时
184,金风,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,5.0,1335.97,5.8,115,多机-大范围-短时
185,金风,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,5.0,815.24,4.87,115,多机-大范围-短时
186,金风,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,5.0,144.27,4.16,115,多机-大范围-短时
187,金风,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,5.0,894.63,5.32,115,多机-大范围-短时
188,金风,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,6.0,-5.12,7.46,115,多机-大范围-短时
189,金风,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,5.0,1340.24,6.42,115,多机-大范围-短时
190,金风,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,5.0,1000.48,6.13,115,多机-大范围-短时
191,金风,BING,2024-08-09 10:36:00,2024-08-09 10:40:00,5,5.0,1669.75,6.31,115,多机-大范围-短时
82,明阳,WU,2024-08-09 10:43:00,2024-08-09 11:15:00,33,6.0,0.0,0.0,1,单机-长时
63,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,3.0,0.0,8.2476,135,多机-大范围-短时
64,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,543.0,4.4857,135,多机-大范围-短时
65,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,549.0,3.8356,135,多机-大范围-短时
66,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,984.0,5.8626,135,多机-大范围-短时
67,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,939.0,5.7915,135,多机-大范围-短时
68,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,683.0,4.5443,135,多机-大范围-短时
69,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,674.0,6.3249,135,多机-大范围-短时
70,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,1359.0,3.9714,135,多机-大范围-短时
71,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,1544.0,6.8279,135,多机-大范围-短时
72,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,627.0,4.4132,135,多机-大范围-短时
73,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,809.0,7.0288,135,多机-大范围-短时
74,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,626.0,4.1341,135,多机-大范围-短时
75,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,567.0,5.3971,135,多机-大范围-短时
76,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,645.0,5.2369,135,多机-大范围-短时
77,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,326.0,3.2078,135,多机-大范围-短时
78,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,466.0,4.1667,135,多机-大范围-短时
79,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,330.0,3.3344,135,多机-大范围-短时
80,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,1108.0,5.9928,135,多机-大范围-短时
81,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,770.0,5.0391,135,多机-大范围-短时
83,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,368.0,4.0592,135,多机-大范围-短时
84,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,88.0,3.0386,135,多机-大范围-短时
85,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,931.0,7.4201,135,多机-大范围-短时
86,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,504.0,3.1706,135,多机-大范围-短时
87,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,390.0,4.6065,135,多机-大范围-短时
88,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,535.0,4.7396,135,多机-大范围-短时
89,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,355.0,4.6712,135,多机-大范围-短时
90,明阳,WU,2024-08-09 11:02:00,2024-08-09 11:06:00,5,1.0,392.0,4.7754,135,多机-大范围-短时
