region,bin_source,sigma_switch_threshold,P_left,P_right,P_med,sigma_local,n,base_bin_count,bin_width,min_bin_samples,line,line_name,scheme,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b
high,high_fit_bins,0.0,80.0,90.0,84.893776,1.2897721479528192,7011,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,90.0,100.0,94.78181,1.3549251277647043,6206,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,100.0,110.0,104.94423,1.4656473333641866,5726,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,110.0,120.0,114.83831,1.591723345102306,5099,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,120.0,130.0,124.90497300000001,1.808847431244248,4540,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,130.0,140.0,134.78363000000002,2.020747049122579,3866,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,140.0,150.0,145.9872,2.0162510075082825,4333,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,150.0,160.0,155.106335,2.3546191402987557,3320,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,160.0,170.0,164.870665,2.4304672891565926,3020,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,170.0,180.0,174.98542,2.462089080518522,2820,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,180.0,190.0,184.84350999999998,2.543066733825828,2840,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,190.0,200.0,194.988775,2.56981563402918,2642,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,200.0,210.0,205.0929,2.4958712813336477,2843,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,210.0,220.0,215.12859,2.4090515300401347,2936,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,220.0,230.0,224.99982,2.6650602935449155,2305,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,230.0,240.0,235.3059,2.311575343200015,2869,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,240.0,250.0,244.92564499999997,2.0749828476335797,2810,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,250.0,260.0,254.12982,1.7108823574059187,4021,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,260.0,270.0,263.65936,1.9624748991812022,2023,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,270.0,280.0,274.26535,1.5294536104565362,1727,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,280.0,290.0,280.97818,0.6690591582110839,797,1,10.0,20,DING,丁（DING）,A,CT_eff,CT_eff,,10.0
low,low_lookup,10.0,0.0,0.5,0.31410388499999997,0.5806342270645025,1221,1,0.5,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,0.0,10.0,8.8120495,0.5683282917143705,23647,1,10.0,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
low,low_lookup,10.0,0.5,1.0,0.8075055,0.4001218192555177,2019,1,0.5,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
low,low_lookup,10.0,1.0,1.5,1.1697142,0.41416571324029755,981,1,0.5,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
low,low_lookup,10.0,1.5,2.0,1.7429679,0.5565369613513241,1585,1,0.5,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
low,low_lookup,10.0,2.0,2.5,2.2639465,0.41592534410653864,1473,1,0.5,20,DING,丁（DING）,AP,CT_eff,CT_eff,10.0,10.0
